#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8676671|2016-10-26T21:55:07.390000|43.0282|13.0665|10.5|SURVEY-INGV||||ML|2.4|--|Macerata
8676871|2016-10-26T21:59:01.650000|42.8755|13.1453|8.7|SURVEY-INGV||||ML|2.6|--|Macerata
8676931|2016-10-26T22:00:03.150000|42.8793|13.157|7.4|SURVEY-INGV||||ML|2.8|--|Macerata
8677081|2016-10-26T22:03:58.310000|42.955|13.0652|10.3|SURVEY-INGV||||ML|2.2|--|Macerata
8677261|2016-10-26T22:08:36.170000|43.0212|13.1363|9.7|SURVEY-INGV||||ML|2.7|--|Macerata
8677441|2016-10-26T22:11:27.910000|42.9342|13.1573|7.5|SURVEY-INGV||||ML|3.2|--|Macerata
8677481|2016-10-26T22:12:33.940000|42.9868|13.1432|8.8|SURVEY-INGV||||ML|2.7|--|Macerata
8677621|2016-10-26T22:15:03.930000|43.0167|13.1228|8.6|SURVEY-INGV||||ML|2.9|--|Macerata
8677681|2016-10-26T22:16:34.180000|42.8728|13.1195|8.4|SURVEY-INGV||||ML|3.0|--|Macerata
8677781|2016-10-26T22:18:11.170000|43.0027|13.1342|10.4|SURVEY-INGV||||ML|2.5|--|Macerata
8677941|2016-10-26T22:20:52.230000|42.9793|13.0693|9.6|SURVEY-INGV||||ML|2.8|--|Macerata
8678081|2016-10-26T22:22:52.260000|42.8158|13.1018|8.3|SURVEY-INGV||||ML|2.7|--|Perugia
8678391|2016-10-26T22:30:44.210000|42.9448|13.1398|8.3|SURVEY-INGV||||ML|2.4|--|Macerata
8678501|2016-10-26T22:32:20.850000|42.9545|13.1397|8.3|SURVEY-INGV||||ML|2.5|--|Macerata
8678581|2016-10-26T22:34:29.660000|42.7412|13.1962|12.0|SURVEY-INGV||||ML|2.8|--|Rieti
8678841|2016-10-26T22:40:04.010000|42.8982|13.0533|11.1|SURVEY-INGV||||ML|2.5|--|Perugia
8678911|2016-10-26T22:41:51.590000|42.9957|13.1258|6.1|SURVEY-INGV||||ML|2.5|--|Macerata
8678951|2016-10-26T22:43:08.650000|42.8893|13.0377|10.6|SURVEY-INGV||||ML|2.3|--|Perugia
8679141|2016-10-26T22:45:31.340000|43.0008|13.1315|8.2|SURVEY-INGV||||ML|2.6|--|Macerata
8679211|2016-10-26T22:48:35.290000|42.9938|13.1403|9.6|SURVEY-INGV||||ML|2.8|--|Macerata
8679361|2016-10-26T22:52:09.460000|42.9737|13.145|9.3|SURVEY-INGV||||ML|2.4|--|Macerata
8679591|2016-10-26T22:55:36.100000|43.0388|13.1043|8.4|SURVEY-INGV||||ML|2.3|--|Macerata
8679741|2016-10-26T22:58:51.100000|42.96|13.0592|10.1|SURVEY-INGV||||ML|2.9|--|Macerata
8679811|2016-10-26T22:59:41.660000|43.0038|13.0703|8.6|SURVEY-INGV||||ML|2.8|--|Macerata
8679871|2016-10-26T23:01:31.670000|42.9307|13.0593|12.4|SURVEY-INGV||||ML|2.3|--|Macerata
8679971|2016-10-26T23:02:05.140000|42.9967|13.1188|8.9|SURVEY-INGV||||ML|2.5|--|Macerata
8680041|2016-10-26T23:03:29.900000|43.0037|13.1385|7.1|SURVEY-INGV||||Md|2.6|--|Macerata
8680231|2016-10-26T23:08:11.470000|42.8692|13.0893|8.2|SURVEY-INGV||||ML|2.4|--|Perugia
8680471|2016-10-26T23:14:22.710000|42.923|13.1467|8.3|SURVEY-INGV||||ML|2.4|--|Macerata
8680601|2016-10-26T23:16:22.600000|42.8403|13.1595|7.9|SURVEY-INGV||||ML|2.7|--|Macerata
8681401|2016-10-26T23:34:07.450000|42.9243|13.0523|10.9|SURVEY-INGV||||ML|2.4|--|Macerata
8681611|2016-10-26T23:38:26.180000|42.8568|13.0477|10.3|SURVEY-INGV||||ML|2.0|--|Perugia
8681631|2016-10-26T23:38:36.000000|42.9698|13.1183|10.7|SURVEY-INGV||||ML|2.8|--|Macerata
8681811|2016-10-26T23:41:59.320000|43.0432|13.06|0.5|SURVEY-INGV||||ML|2.2|--|Macerata
